elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
125,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,25,6.1000000000000005,0.0,8.687708429690997e-16,-2405.689052798916,-0.11350185092474696,-2388.110881523168,-2.6497510710557546e-15,2405.689052798916,2388.110881523168
126,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,22,1.5,0.0,2.5861570453504164e-13,-91468.38505382967,20.941261045228114,59029.054791902134,1.9396177840128123e-13,91468.38505382967,59029.054791902134
126,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,33,1.5,0.0,-2.5861570453504164e-13,90330.17980382967,-20.941261045228114,77319.86885134238,1.9396177840128123e-13,90330.17980382967,77319.86885134238
127,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,33,3.799999999999999,0.0,4.477418707324132e-15,28652.781412663917,-7.34585590960026,-77289.59945572256,8.507095543915848e-15,28652.781412663917,77289.59945572256
127,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,23,3.799999999999999,0.0,-4.477418707324132e-15,-31536.234712663918,7.34585590960026,-37069.531182400286,8.507095543915848e-15,31536.234712663918,37069.531182400286
128,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,22,6.1000000000000005,0.0,-8.687708429690997e-16,-1135.5192537361374,0.920376084660547,-1358.314419902173,-2.6497510710557546e-15,1135.5192537361374,1358.314419902173
128,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,26,6.1000000000000005,0.0,8.687708429690997e-16,-3493.182096263863,-0.920376084660547,-5832.557249807389,-2.6497510710557546e-15,3493.182096263863,5832.557249807389
129,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,23,5.450000000000001,0.0,-3.2650749667752067e-15,-6757.127660741673,1.6744036954576123,21452.42539912602,-8.897329284462441e-15,6757.127660741673,21452.42539912602
129,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,24,5.450000000000001,0.0,3.2650749667752067e-15,2621.648585741672,-1.6744036954576123,4104.739872541102,-8.897329284462441e-15,2621.648585741672,4104.739872541102
130,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,25,6.32,0.0,-4.856037153533118e-15,3324.6909691708393,0.2560073455611798,-7829.402577860245,-1.5345077405164655e-14,3324.6909691708393,7829.402577860245
130,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,26,6.32,0.0,4.856037153533118e-15,-8120.32908917084,-0.2560073455611798,-28336.860806499462,-1.5345077405164655e-14,8120.32908917084,28336.860806499462
131,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,25,6.199999999999999,0.0,0.0,-2150.328479543816,0.03367778642665773,1265.9687767454773,0.0,2150.328479543816,1265.9687767454773
131,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,29,6.199999999999999,0.0,0.0,-2554.253220456184,-0.03367778642665773,-2518.1354735738178,0.0,2554.253220456184,2518.1354735738178
132,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,26,1.5,0.0,2.5861570453504164e-13,-76898.1132305373,-19.624361654815864,48334.27520901771,1.9396177840128123e-13,76898.1132305373,48334.27520901771
132,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,35,1.5,0.0,-2.5861570453504164e-13,75759.9079805373,19.624361654815864,66159.24069928826,1.9396177840128123e-13,75759.9079805373,66159.24069928826
133,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,35,3.799999999999999,0.0,4.477418707324132e-15,24840.279895189164,8.044485138453528,-66150.5517526117,8.507095543915848e-15,24840.279895189164,66150.5517526117
133,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,27,3.799999999999999,0.0,-4.477418707324132e-15,-27723.733195189165,-8.044485138453528,-33721.07311910707,8.507095543915848e-15,27723.733195189165,33721.07311910707
134,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,26,6.199999999999999,0.0,0.0,-22.85242019428142,3.905300914046584,-4780.905726028785,0.0,22.85242019428142,4780.905726028785
134,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,30,6.199999999999999,0.0,0.0,-4681.729279805719,-3.905300914046584,-9661.612538766669,0.0,4681.729279805719,9661.612538766669
135,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,27,5.450000000000001,0.0,-3.2650749667752067e-15,-6845.701883330584,0.062319042659782234,20624.423169029327,-8.897329284462441e-15,6845.701883330584,20624.423169029327
