combo,criterio,nodo,x_m,y_m,z_m,Rx_N,Ry_N,Rz_N,Mx_Nm,My_Nm,Mz_Nm,Fx_cimentacion_N,Fy_cimentacion_N,Fz_cimentacion_N,Mx_cimentacion_Nm,My_cimentacion_Nm,Mz_cimentacion_Nm,P_compresion_N,levantamiento_N,V_horizontal_N,M_resultante_Nm
SISMO_DOWN_1,envolvente_abs_grav_cqc,13,0.0,18.5,0.0,127639.67387294827,59912.142384477134,552033.3370819153,71.16594515961565,3438.9323822679326,2.069213316991336,-127639.67387294827,-59912.142384477134,-552033.3370819153,-71.16594515961565,-3438.9323822679326,-2.069213316991336,552033.3370819153,0.0,141001.24521255284,3439.668664502652
SISMO_DOWN_1,envolvente_abs_grav_cqc,2,6.32,0.0,0.0,135840.02437156992,275.47171108702895,635748.0011936737,272.78242055107694,4151.354789145017,2.069213316991336,-135840.02437156992,-275.47171108702895,-635748.0011936737,-272.78242055107694,-4151.354789145017,-2.069213316991336,635748.0011936737,0.0,135840.30368757396,4160.307300466995
SISMO_DOWN_1,envolvente_abs_grav_cqc,6,6.32,6.2,0.0,15042.250645456721,184.52018829171737,819718.0055829426,263.9997706309123,22925.867804425554,9.814038623144677,-15042.250645456721,-184.52018829171737,-819718.0055829426,-263.9997706309123,-22925.867804425554,-9.814038623144677,819718.0055829426,0.0,15043.382338444713,22927.387781099034
SISMO_DOWN_1,envolvente_abs_grav_cqc,10,6.32,12.3,0.0,13570.59841702729,280.7352193690043,781348.6563560138,237.6961487748993,21326.862536376633,9.814038623144677,-13570.59841702729,-280.7352193690043,-781348.6563560138,-237.6961487748993,-21326.862536376633,-9.814038623144677,781348.6563560138,0.0,13573.50189374937,21328.18710309546
SISMO_DOWN_1,envolvente_abs_grav_cqc,14,6.32,18.5,0.0,134273.70056269263,277.2812258565175,627085.2653518568,317.779546120964,4086.0690489852036,2.069213316991336,-134273.70056269263,-277.2812258565175,-627085.2653518568,-317.779546120964,-4086.0690489852036,-2.069213316991336,627085.2653518568,0.0,134273.98686148354,4098.407509387968
SISMO_DOWN_1,envolvente_abs_grav_cqc,3,11.620000000000001,0.0,0.0,120348.72475274296,310.6585988122813,577566.697249132,348.52548450272155,4310.98120370941,2.0692133169912665,-120348.72475274296,-310.6585988122813,-577566.697249132,-348.52548450272155,-4310.98120370941,-2.0692133169912665,577566.697249132,0.0,120349.12570673914,4325.046699410735
SISMO_DOWN_1,envolvente_abs_grav_cqc,7,11.620000000000001,6.2,0.0,11199.829570748,6017.6877779246515,614084.360893895,6308.484365625257,18984.633900108573,9.81403862314933,-11199.829570748,-6017.6877779246515,-614084.360893895,-6308.484365625257,-18984.633900108573,-9.81403862314933,614084.360893895,0.0,12714.116115813362,20005.3317721174
SISMO_DOWN_1,envolvente_abs_grav_cqc,11,11.620000000000001,12.3,0.0,10716.344218491151,757.8144816566175,420623.2078409032,742.0819976165977,18408.141914688003,9.814038623144983,-10716.344218491151,-757.8144816566175,-420623.2078409032,-742.0819976165977,-18408.141914688003,-9.814038623144983,420623.2078409032,0.0,10743.105519252671,18423.093509030452
SISMO_DOWN_1,envolvente_abs_grav_cqc,15,11.620000000000001,18.5,0.0,120900.93416747589,188.60264511647074,588623.7647434686,226.67427468363414,4210.708705040023,2.0692133169911906,-120900.93416747589,-188.60264511647074,-588623.7647434686,-226.67427468363414,-4210.708705040023,-2.0692133169911906,588623.7647434686,0.0,120901.08127525612,4216.80554750906
SISMO_DOWN_1,envolvente_abs_grav_cqc,4,17.07,0.0,0.0,116270.18684712354,44709.89786882829,486757.6364097065,231.10420380701308,3543.38376775972,2.069213316991336,-116270.18684712354,-44709.89786882829,-486757.6364097065,-231.10420380701308,-3543.38376775972,-2.069213316991336,486757.6364097065,0.0,124570.1863083863,3550.912231897649
