claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0083,9.6,Y,Viga_1,IR 203 x 31.3,353,"66, 79",66,79,79,1.5,0.0,0.00625,0.0,-0.003996442024711046,-0.003996442024711046,0,Cumple,delta_nodal_local_vs_cuerda
DV-0085,9.6,Y,Viga_1,IR 203 x 31.3,322,"60, 64",60,64,64,6.2,0.0,0.025833333333333333,0.0,-0.0020592814442776113,-0.0020592814442776113,0,Cumple,delta_nodal_local_vs_cuerda
DV-0086,9.6,Y,Viga_1,IR 203 x 31.3,332,"64, 68",64,68,68,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.0019623570668250924,-0.0019623570668250924,0,Cumple,delta_nodal_local_vs_cuerda
DV-0087,9.6,Y,Viga_1,IR 203 x 31.3,339,"68, 72",68,72,72,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0018742316739728834,-0.0018742316739728834,0,Cumple,delta_nodal_local_vs_cuerda
DV-0090,9.6,Y,Viga_1,IR 203 x 31.3,329,"63, 67",63,67,67,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.001928474478406062,-0.001928474478406062,0,Cumple,delta_nodal_local_vs_cuerda
DV-0093,9.6,X,Viga_1,IR 203 x 31.3,321,"60, 61",60,61,61,5.300000000000001,0.0,0.022083333333333337,0.0,-0.0015797171495004901,-0.0015797171495004901,0,Cumple,delta_nodal_local_vs_cuerda
DV-0095,9.6,X,Viga_1,IR 203 x 31.3,334,"67, 68",67,68,68,6.32,0.0,0.026333333333333334,0.0,-0.0019623570668250924,-0.0019623570668250924,0,Cumple,delta_nodal_local_vs_cuerda
DV-0097,9.6,X,Viga_1,IR 203 x 31.3,340,"69, 70",69,70,70,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0008883047867671494,-0.0008883047867671494,0,Cumple,delta_nodal_local_vs_cuerda
DV-0099,9.6,X,Viga_1,IR 203 x 31.3,346,"72, 73",72,73,73,5.300000000000001,0.0,0.022083333333333337,0.0,-0.001640995214670236,-0.001640995214670236,0,Cumple,delta_nodal_local_vs_cuerda
DV-0101,9.6,X,Viga_1,IR 203 x 31.3,328,"63, 64",63,64,64,6.32,0.0,0.026333333333333334,0.0,-0.0020592814442776113,-0.0020592814442776113,0,Cumple,delta_nodal_local_vs_cuerda
DV-0103,9.6,X,Viga_1,IR 203 x 31.3,333,"65, 66",65,66,66,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0014244187486838515,-0.0014244187486838515,0,Cumple,delta_nodal_local_vs_cuerda
