elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
214,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,30,3.2,287924.5573948342,1133.7829072277482,523.8026611729791,5.41391349759068,829.338144359347,1920.7475022170092,1248.9327077844105,2092.145483699039
214,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,51,3.2,286253.5926268342,1133.7829072277482,523.8026611729791,5.41391349759068,846.8320496542541,1707.4956300956217,1248.9327077844105,1905.955363359087
215,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,31,3.2,255314.44826708813,1282.418382671832,308.9549424690211,5.413913497590668,527.6086218253151,2113.2929185780486,1319.1095726628146,2178.159272766006
215,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,52,3.2,253643.48349908812,1282.418382671831,308.9549424690211,5.413913497590668,461.04833740687434,1990.579437403635,1319.1095726628137,2043.2748385960747
216,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,32,3.2,180199.2329667443,378.84193139861236,696.4547901100184,5.41391349759068,1075.6703471919657,467.832393230344,792.8243712531929,1173.002064782375
216,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,53,3.2,178528.2681987443,378.84193139861236,696.4547901100184,5.41391349759068,1158.1751995039579,744.4679612284075,792.8243712531929,1376.8087514399429
217,VIGA,Viga_1,IR 356 x 44.6,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,38,3.16,0.0,6.956226227966178e-15,1925.999247224179,0.23307635890512915,2832.728118028302,1.0990837440186562e-14,1925.999247224179,2832.728118028302
217,VIGA,Viga_1,IR 356 x 44.6,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,109,3.16,0.0,6.956226227966178e-15,405.158871224179,0.23307635890512915,1948.5888348037872,1.0990837440186562e-14,405.158871224179,1948.5888348037872
218,VIGA,Viga_1,IR 356 x 44.6,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,109,3.16,0.0,1.5621137332547184e-14,405.15887122417934,0.23307635890512915,1948.5888348037872,2.4681396985424554e-14,405.15887122417934,1948.5888348037872
218,VIGA,Viga_1,IR 356 x 44.6,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,39,3.16,0.0,1.5621137332547184e-14,1541.9400632564273,0.23307635890512915,529.0760561829106,2.4681396985424554e-14,1541.9400632564273,529.0760561829106
