claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0092,9.6,X,Viga_1,IR 356 x 44.6,"317, 318","59, 117, 60",59,60,117,6.32,8.31323840930116e-05,0.026333333333333334,0.0031569259782156306,-0.0016384438602496838,-0.0017215762443426954,1,Cumple,delta_nodal_local_vs_cuerda
DV-0030,3.2,Y,Viga_1,IR 356 x 44.6,"142, 143","28, 106, 32",28,32,106,6.199999999999999,5.073363046925397e-05,0.02583333333333333,0.0019638824697775733,-0.00042370240981538023,-0.0004744360402846342,1,Cumple,delta_nodal_local_vs_cuerda
DV-0084,9.6,Y,Viga_1,IR 356 x 44.6,"342, 343","70, 122, 74",70,74,122,6.199999999999999,4.7477413735880604e-05,0.02583333333333333,0.001837835370421185,-0.001024879199603596,-0.0010723566133394767,1,Cumple,delta_nodal_local_vs_cuerda
DV-0001,12.8,Y,Viga_2,IR 356 x 44.6,425,"82, 86",82,86,86,6.2,0.0,0.025833333333333333,0.0,-0.0017207733580028492,-0.0017207733580028492,0,Cumple,delta_nodal_local_vs_cuerda
DV-0002,12.8,Y,Viga_2,IR 356 x 44.6,452,"86, 99",86,99,99,1.5,0.0,0.00625,0.0,-0.0038721298798622345,-0.0038721298798622345,0,Cumple,delta_nodal_local_vs_cuerda
DV-0003,12.8,Y,Viga_2,IR 356 x 44.6,441,"90, 94",90,94,94,6.199999999999999,0.0,0.02583333333333333,0.0,-0.002014207064424214,-0.002014207064424214,0,Cumple,delta_nodal_local_vs_cuerda
DV-0005,12.8,Y,Viga_2,IR 356 x 44.6,453,"87, 100",87,100,100,1.5,0.0,0.00625,0.0,-0.00348430299852409,-0.00348430299852409,0,Cumple,delta_nodal_local_vs_cuerda
DV-0007,12.8,Y,Viga_2,IR 356 x 44.6,422,"81, 85",81,85,85,6.2,0.0,0.025833333333333333,0.0,-0.0022944546458869733,-0.0022944546458869733,0,Cumple,delta_nodal_local_vs_cuerda
DV-0008,12.8,Y,Viga_2,IR 356 x 44.6,432,"85, 89",85,89,89,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.002186049338827224,-0.002186049338827224,0,Cumple,delta_nodal_local_vs_cuerda
DV-0009,12.8,Y,Viga_2,IR 356 x 44.6,439,"89, 93",89,93,93,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0022757080173309388,-0.0022757080173309388,0,Cumple,delta_nodal_local_vs_cuerda
DV-0012,12.8,Y,Viga_2,IR 356 x 44.6,429,"84, 88",84,88,88,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.002352638032552652,-0.002352638032552652,0,Cumple,delta_nodal_local_vs_cuerda
DV-0015,12.8,X,Viga_2,IR 356 x 44.6,421,"81, 82",81,82,82,5.300000000000001,0.0,0.022083333333333337,0.0,-0.001917166038557473,-0.001917166038557473,0,Cumple,delta_nodal_local_vs_cuerda
DV-0017,12.8,X,Viga_2,IR 356 x 44.6,434,"88, 89",88,89,89,6.32,0.0,0.026333333333333334,0.0,-0.002186049338827224,-0.002186049338827224,0,Cumple,delta_nodal_local_vs_cuerda
DV-0019,12.8,X,Viga_2,IR 356 x 44.6,440,"90, 91",90,91,91,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0010833424564723627,-0.0010833424564723627,0,Cumple,delta_nodal_local_vs_cuerda
DV-0021,12.8,X,Viga_2,IR 356 x 44.6,446,"93, 94",93,94,94,5.300000000000001,0.0,0.022083333333333337,0.0,-0.002014207064424214,-0.002014207064424214,0,Cumple,delta_nodal_local_vs_cuerda
DV-0023,12.8,X,Viga_2,IR 356 x 44.6,428,"84, 85",84,85,85,6.32,0.0,0.026333333333333334,0.0,-0.0022944546458869733,-0.0022944546458869733,0,Cumple,delta_nodal_local_vs_cuerda
DV-0025,12.8,X,Viga_2,IR 356 x 44.6,433,"86, 87",86,87,87,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0017588929125827383,-0.0017588929125827383,0,Cumple,delta_nodal_local_vs_cuerda
DV-0027,3.2,Y,Viga_1,IR 356 x 44.6,125,"19, 23",19,23,23,6.2,0.0,0.025833333333333333,0.0,-0.0006877729379528039,-0.0006877729379528039,0,Cumple,delta_nodal_local_vs_cuerda
DV-0028,3.2,Y,Viga_1,IR 356 x 44.6,152,"23, 36",23,36,36,1.5,0.0,0.00625,0.0,-0.0023606536707518957,-0.0023606536707518957,0,Cumple,delta_nodal_local_vs_cuerda
DV-0029,3.2,Y,Viga_1,IR 356 x 44.6,141,"27, 31",27,31,31,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0008156950245676474,-0.0008156950245676474,0,Cumple,delta_nodal_local_vs_cuerda
